Date,Period Ending,Estimate,Reported,Surprise,Surprise%
2016-11-30,Oct 2016,$0.41,N/A,N/A,N/A
2016-08-17,Jul 2016,$0.21,$0.23,0.02,9.52 %
2016-05-18,Apr 2016,$0.18,$0.22,0.04,22.22 %
2016-03-02,Jan 2016,$0.41,$0.42,0.01,2.44 %
2015-12-02,Oct 2015,$0.34,$0.35,0.01,2.94 %
2015-08-19,Jul 2015,$0.14,$0.17,0.03,21.43 %
2015-05-20,Apr 2015,$0.11,$0.15,0.04,36.36 %
2015-03-04,Jan 2015,$0.34,$0.36,0.02,5.88 %
2014-12-04,Oct 2014,$0.22,$0.22,0.00,0.00 %
2014-08-20,Jul 2014,$0.00,$0.03,N/A,N/A
2014-05-21,Apr 2014,$0.00,$0.02,N/A,N/A
2014-03-11,Jan 2014,$0.26,$0.27,0.01,3.85 %
2013-12-06,Oct 2013,$0.18,$0.19,0.01,5.56 %
2013-08-21,Jul 2013,$0.10,$0.10,0.00,0.00 %
2013-05-22,Apr 2013,$0.17,$0.18,0.01,5.88 %
2013-03-06,Jan 2013,$0.56,$0.55,-0.01,-1.79 %
2012-11-28,Oct 2012,$0.39,$0.41,0.02,5.13 %
2012-08-22,Jul 2012,$0.21,$0.21,0.00,0.00 %
2012-05-23,Apr 2012,$0.20,$0.20,0.00,0.00 %
2012-03-07,Jan 2012,$0.34,$0.35,0.01,2.94 %
2011-11-30,Oct 2011,$0.27,$0.27,0.00,0.00 %
2011-08-24,Jul 2011,$0.11,$0.10,-0.01,-9.09 %
2011-05-25,Apr 2011,$0.14,$0.13,-0.01,-7.14 %
2011-03-09,Jan 2011,$0.43,$0.44,0.01,2.33 %
2010-11-18,Oct 2010,$0.29,N/A,N/A,N/A
2010-08-25,Jul 2010,$0.12,N/A,N/A,N/A
2010-05-26,Apr 2010,$0.17,N/A,N/A,N/A
2010-03-10,Jan 2010,$0.33,N/A,N/A,N/A
2009-11-24,Oct 2009,$0.21,N/A,N/A,N/A
2009-08-27,Jul 2009,$0.15,N/A,N/A,N/A
2009-05-27,Apr 2009,$0.07,N/A,N/A,N/A
