earning_date,month,buy_days,sell_days,buy_date,sell_date,buy_price,sell_price,profit
2016-08-17,Jul,-14,0,2016-08-03,2016-08-17,18.02,18.33,0.3099999999999987
2016-05-18,Apr,-14,0,2016-05-04,2016-05-18,14.62,13.39,-1.2299999999999986
2016-03-02,Jan,-14,0,2016-02-17,2016-03-02,14.25,15.44,1.1899999999999995
2015-12-02,Oct,-14,0,2015-11-18,2015-12-02,15.15,15.81,0.6600000000000001
2015-08-19,Jul,-14,0,2015-08-05,2015-08-19,17.77,16.9,-0.870000000000001
2015-05-20,Apr,-14,0,2015-05-06,2015-05-20,16.67,16.610001,-0.059999000000001246
2015-03-04,Jan,-14,0,2015-02-18,2015-03-04,14.52,15.96,1.4400000000000013
2014-12-04,Oct,-14,0,2014-11-20,2014-12-04,13.74,13.81,0.07000000000000028
2014-08-20,Jul,-14,0,2014-08-06,2014-08-20,11.01,12.98,1.9700000000000006
2014-05-21,Apr,-14,0,2014-05-07,2014-05-21,10.93,10.6,-0.33000000000000007
2014-03-11,Jan,-14,0,2014-02-25,2014-03-11,14.15,13.1,-1.0500000000000007
2013-12-06,Oct,-14,0,2013-11-22,2013-12-06,16.0,14.85,-1.1500000000000004
2013-08-21,Jul,-14,0,2013-08-07,2013-08-21,16.9,14.76,-2.139999999999999
2013-05-22,Apr,-14,0,2013-05-08,2013-05-22,19.450001,20.48,1.029999
2013-03-06,Jan,-14,0,2013-02-20,2013-03-06,20.65,20.27,-0.379999999999999
2012-11-28,Oct,-14,0,2012-11-14,2012-11-28,19.34,20.77,1.4299999999999997
2012-08-22,Jul,-14,0,2012-08-08,2012-08-22,21.360001,22.129998999999998,0.7699979999999975
2012-05-23,Apr,-14,0,2012-05-09,2012-05-23,19.9,20.040001,0.1400010000000016
2012-03-07,Jan,-14,0,2012-02-22,2012-03-07,14.17,15.54,1.3699999999999992
2011-11-30,Oct,-14,0,2011-11-16,2011-11-30,13.97,13.91,-0.0600000000000005
2011-08-24,Jul,-14,0,2011-08-10,2011-08-24,11.32,10.6,-0.7200000000000006
2011-05-25,Apr,-14,0,2011-05-11,2011-05-25,14.65,13.02,-1.6300000000000008
2011-03-09,Jan,-14,0,2011-02-23,2011-03-09,15.18,15.56,0.3800000000000008
2010-11-18,Oct,-14,0,2010-11-04,2010-11-18,16.26,16.290001,0.030000999999998612
2010-08-25,Jul,-14,0,2010-08-11,2010-08-25,12.29,13.48,1.1900000000000013
2010-05-26,Apr,-14,0,2010-05-12,2010-05-26,16.030001000000002,12.82,-3.210001000000002
2010-03-10,Jan,-14,0,2010-02-24,2010-03-10,16.9,18.200001,1.3000010000000017
2009-11-24,Oct,-14,0,2009-11-10,2009-11-24,16.25,15.01,-1.2400000000000002
2009-08-27,Jul,-14,0,2009-08-13,2009-08-27,15.17,14.0,-1.17
2009-05-27,Apr,-14,0,2009-05-13,2009-05-27,13.86,14.33,0.47000000000000064
2016-08-17,Jul,-14,1,2016-08-03,2016-08-18,18.02,18.719998999999998,0.6999989999999983
2016-05-18,Apr,-14,1,2016-05-04,2016-05-19,14.62,15.84,1.2200000000000006
2016-03-02,Jan,-14,1,2016-02-17,2016-03-03,14.25,15.0,0.75
2015-12-02,Oct,-14,1,2015-11-18,2015-12-03,15.15,15.32,0.16999999999999993
2015-08-19,Jul,-14,1,2015-08-05,2015-08-20,17.77,16.42,-1.3499999999999979
2015-05-20,Apr,-14,1,2015-05-06,2015-05-21,16.67,16.469998999999998,-0.20000100000000387
2015-03-04,Jan,-14,1,2015-02-18,2015-03-05,14.52,16.34,1.8200000000000003
2014-12-04,Oct,-14,1,2014-11-20,2014-12-05,13.74,11.91,-1.83
2014-08-20,Jul,-14,1,2014-08-06,2014-08-21,11.01,13.32,2.3100000000000005
2014-05-21,Apr,-14,1,2014-05-07,2014-05-22,10.93,10.77,-0.16000000000000014
2014-03-11,Jan,-14,1,2014-02-25,2014-03-12,14.15,12.75,-1.4000000000000004
2013-12-06,Oct,-14,1,2013-11-22,2013-12-06,16.0,14.85,-1.1500000000000004
2013-08-21,Jul,-14,1,2013-08-07,2013-08-22,16.9,15.21,-1.6899999999999977
2013-05-22,Apr,-14,1,2013-05-08,2013-05-23,19.450001,20.1,0.6499990000000011
2013-03-06,Jan,-14,1,2013-02-20,2013-03-07,20.65,20.41,-0.23999999999999844
2012-11-28,Oct,-14,1,2012-11-14,2012-11-29,19.34,21.09,1.75
2012-08-22,Jul,-14,1,2012-08-08,2012-08-23,21.360001,21.879998999999998,0.5199979999999975
2012-05-23,Apr,-14,1,2012-05-09,2012-05-24,19.9,19.6,-0.29999999999999716
2012-03-07,Jan,-14,1,2012-02-22,2012-03-08,14.17,15.75,1.58
2011-11-30,Oct,-14,1,2011-11-16,2011-12-01,13.97,14.08,0.10999999999999943
2011-08-24,Jul,-14,1,2011-08-10,2011-08-25,11.32,10.17,-1.1500000000000004
2011-05-25,Apr,-14,1,2011-05-11,2011-05-26,14.65,13.1,-1.5500000000000007
2011-03-09,Jan,-14,1,2011-02-23,2011-03-10,15.18,15.67,0.4900000000000002
2010-11-18,Oct,-14,1,2010-11-04,2010-11-19,16.26,16.25,-0.010000000000001563
2010-08-25,Jul,-14,1,2010-08-11,2010-08-26,12.29,13.18,0.8900000000000006
2010-05-26,Apr,-14,1,2010-05-12,2010-05-27,16.030001000000002,12.84,-3.1900010000000023
2010-03-10,Jan,-14,1,2010-02-24,2010-03-11,16.9,18.709999,1.8099990000000012
2009-11-24,Oct,-14,1,2009-11-10,2009-11-25,16.25,15.39,-0.8599999999999994
2009-08-27,Jul,-14,1,2009-08-13,2009-08-28,15.17,13.89,-1.2799999999999994
