Date,Period Ending,Estimate,Reported,Surprise,Surprise%
2016-12-12,Sep 2016,N/A,N/A,N/A,N/A
2016-09-23,Jun 2016,N/A,- $0.83,N/A,N/A
2016-06-13,Mar 2016,N/A,- $16.82,N/A,N/A
2016-03-25,Dec 2015,N/A,- $2.58,N/A,N/A
2015-12-09,Sep 2015,N/A,$4.98,N/A,N/A
2015-09-10,Jun 2015,N/A,- $2.04,N/A,N/A
2015-06-10,Mar 2015,N/A,$27.25,N/A,N/A
2015-03-23,Dec 2014,N/A,$59.75,N/A,N/A
2014-12-10,Sep 2014,N/A,$48.06,N/A,N/A
2014-09-16,Jun 2014,N/A,$9.56,N/A,N/A
2014-06-16,Mar 2014,N/A,$10.61,N/A,N/A
2014-03-24,Dec 2013,N/A,$18.47,N/A,N/A
2013-11-18,Sep 2013,N/A,$9.67,N/A,N/A
2013-09-03,Jun 2013,N/A,$6.22,N/A,N/A
2013-06-02,Mar 2013,N/A,$9.61,N/A,N/A
2013-03-19,Dec 2012,N/A,$24.09,N/A,N/A
2012-11-19,Sep 2012,N/A,$0.62,N/A,N/A
2012-09-03,Jun 2012,N/A,$4.40,N/A,N/A
2012-06-07,Mar 2012,N/A,- $9.51,N/A,N/A
2012-03-21,Dec 2011,N/A,- $1.83,N/A,N/A
2011-11-21,Sep 2011,N/A,$1.64,N/A,N/A
2011-08-29,Jun 2011,N/A,$5.51,N/A,N/A
2011-06-06,Mar 2011,N/A,- $4.24,N/A,N/A
2011-04-07,Dec 2010,N/A,- $5.08,N/A,N/A
2010-11-23,Sep 2010,N/A,N/A,N/A,N/A
2010-09-16,Jun 2010,N/A,N/A,N/A,N/A
2010-06-11,Mar 2010,N/A,N/A,N/A,N/A
2010-04-06,Dec 2009,N/A,N/A,N/A,N/A
2009-09-17,Jun 2009,N/A,N/A,N/A,N/A
2009-05-28,Mar 2009,N/A,N/A,N/A,N/A
