earning_date,month,buy_days,sell_days,buy_date,sell_date,buy_price,sell_price,profit
2016-09-23,Jun,-14,0,2016-09-09,2016-09-23,460.0,490.0,30.0
2016-06-13,Mar,-14,0,2016-05-31,2016-06-13,450.0,440.0,-10.0
2016-03-25,Dec,-14,0,2016-03-11,2016-03-24,391.0,400.0,9.0
2015-12-09,Sep,-14,0,2015-11-25,2015-12-09,525.900024,525.0,-0.9000240000000304
2015-09-10,Jun,-14,0,2015-08-27,2015-09-10,537.0,511.0,-26.0
2015-06-10,Mar,-14,0,2015-05-27,2015-06-10,614.98999,601.0,-13.989990000000034
2015-03-23,Dec,-14,0,2015-03-09,2015-03-23,615.0,633.0,18.0
2014-12-10,Sep,-14,0,2014-11-26,2014-12-10,615.0,615.0,0.0
2014-09-16,Jun,-14,0,2014-09-02,2014-09-16,620.0,610.0,-10.0
2014-06-16,Mar,-14,0,2014-06-02,2014-06-16,585.0,600.0,15.0
2014-03-24,Dec,-14,0,2014-03-10,2014-03-24,600.0,600.0,0.0
2013-11-18,Sep,-14,0,2013-11-04,2013-11-18,550.0,590.0,40.0
2013-09-03,Jun,-14,0,2013-08-20,2013-09-03,620.0,599.0,-21.0
2013-06-02,Mar,-14,0,2013-05-20,2013-05-31,575.0,575.0,0.0
2013-03-19,Dec,-14,0,2013-03-05,2013-03-19,520.0,560.01001,40.010009999999966
2012-11-19,Sep,-14,0,2012-11-05,2012-11-19,535.0,546.0,11.0
2012-09-03,Jun,-14,0,2012-08-20,2012-08-31,560.0,550.0,-10.0
2012-06-07,Mar,-14,0,2012-05-24,2012-06-07,550.0,540.0,-10.0
2012-03-21,Dec,-14,0,2012-03-07,2012-03-21,550.0,550.0,0.0
2011-11-21,Sep,-14,0,2011-11-07,2011-11-21,400.0,550.0,150.0
2011-08-29,Jun,-14,0,2011-08-15,2011-08-29,400.0,400.0,0.0
2011-06-06,Mar,-14,0,2011-05-23,2011-06-06,400.0,425.0,25.0
2011-04-07,Dec,-14,0,2011-03-24,2011-04-07,380.0,450.0,70.0
2010-11-23,Sep,-14,0,2010-11-09,2010-11-23,405.0,360.0,-45.0
2010-09-16,Jun,-14,0,2010-09-02,2010-09-16,310.0,500.0,190.0
2010-06-11,Mar,-14,0,2010-05-28,2010-06-11,236.0,236.0,0.0
2010-04-06,Dec,-14,0,2010-03-23,2010-04-06,236.0,236.0,0.0
2009-09-17,Jun,-14,0,2009-09-03,2009-09-17,3.25,3.25,0.0
2009-05-28,Mar,-14,0,2009-05-14,2009-05-28,3.8,3.8,0.0
2016-09-23,Jun,-14,1,2016-09-09,2016-09-23,460.0,490.0,30.0
2016-06-13,Mar,-14,1,2016-05-31,2016-06-14,450.0,440.0,-10.0
2016-03-25,Dec,-14,1,2016-03-11,2016-03-24,391.0,400.0,9.0
2015-12-09,Sep,-14,1,2015-11-25,2015-12-10,525.900024,525.0,-0.9000240000000304
2015-09-10,Jun,-14,1,2015-08-27,2015-09-11,537.0,511.0,-26.0
2015-06-10,Mar,-14,1,2015-05-27,2015-06-11,614.98999,601.0,-13.989990000000034
2015-03-23,Dec,-14,1,2015-03-09,2015-03-24,615.0,600.0,-15.0
2014-12-10,Sep,-14,1,2014-11-26,2014-12-11,615.0,615.0,0.0
2014-09-16,Jun,-14,1,2014-09-02,2014-09-17,620.0,610.0,-10.0
2014-06-16,Mar,-14,1,2014-06-02,2014-06-17,585.0,600.0,15.0
2014-03-24,Dec,-14,1,2014-03-10,2014-03-25,600.0,558.0,-42.0
2013-11-18,Sep,-14,1,2013-11-04,2013-11-19,550.0,590.0,40.0
2013-09-03,Jun,-14,1,2013-08-20,2013-09-04,620.0,600.0,-20.0
2013-06-02,Mar,-14,1,2013-05-20,2013-06-03,575.0,575.0,0.0
2013-03-19,Dec,-14,1,2013-03-05,2013-03-20,520.0,560.01001,40.010009999999966
2012-11-19,Sep,-14,1,2012-11-05,2012-11-20,535.0,546.0,11.0
2012-09-03,Jun,-14,1,2012-08-20,2012-09-04,560.0,550.0,-10.0
2012-06-07,Mar,-14,1,2012-05-24,2012-06-08,550.0,540.0,-10.0
2012-03-21,Dec,-14,1,2012-03-07,2012-03-22,550.0,550.0,0.0
2011-11-21,Sep,-14,1,2011-11-07,2011-11-22,400.0,520.0,120.0
2011-08-29,Jun,-14,1,2011-08-15,2011-08-30,400.0,400.0,0.0
2011-06-06,Mar,-14,1,2011-05-23,2011-06-07,400.0,425.0,25.0
2011-04-07,Dec,-14,1,2011-03-24,2011-04-08,380.0,400.0,20.0
