Date,Period Ending,Estimate,Reported,Surprise,Surprise%
2016-12-05,Oct 2016,- $0.05,N/A,N/A,N/A
2016-10-13,Jul 2016,- $0.06,- $0.04,0.02,33.33 %
2016-06-08,Apr 2016,- $0.06,- $0.04,0.02,33.33 %
2016-03-09,Jan 2016,- $0.06,- $0.07,-0.01,-16.67 %
2015-12-08,Oct 2015,- $0.05,- $0.05,0.00,0.00 %
2015-10-13,Jul 2015,- $0.06,- $0.06,0.00,0.00 %
2015-06-09,Apr 2015,- $0.06,- $0.07,-0.01,-16.67 %
2015-03-12,Jan 2015,- $0.09,- $0.09,0.00,0.00 %
2014-12-09,Oct 2014,- $0.08,- $0.08,0.00,0.00 %
2014-10-09,Jul 2014,- $0.07,- $0.06,0.01,14.29 %
2014-06-09,Apr 2014,- $0.09,- $0.05,0.04,44.44 %
2014-03-11,Jan 2014,- $0.09,- $0.09,0.00,0.00 %
2013-12-09,Oct 2013,N/A,- $0.07,N/A,N/A
2013-10-21,Jul 2013,N/A,- $0.08,N/A,N/A
2013-06-11,Apr 2013,N/A,- $0.15,N/A,N/A
2013-03-11,Jan 2013,- $0.06,- $0.14,-0.08,-133.33 %
2012-12-11,Oct 2012,- $0.06,- $0.09,-0.03,-50.00 %
2012-10-15,Jul 2012,- $0.07,- $0.11,-0.04,-57.14 %
2012-06-11,Apr 2012,- $0.07,- $0.09,-0.02,-28.57 %
2012-03-13,Jan 2012,- $0.09,- $0.11,-0.02,-22.22 %
2011-12-12,Oct 2011,- $0.07,- $0.12,-0.05,-71.43 %
2011-10-17,Jul 2011,- $0.09,- $0.11,-0.02,-22.22 %
2011-06-10,Apr 2011,- $0.10,- $0.05,0.05,50.00 %
2011-03-14,Jan 2011,- $0.10,- $0.15,-0.05,-50.00 %
2010-12-13,Oct 2010,- $0.08,- $0.03,0.05,62.50 %
2010-10-15,Jul 2010,- $0.09,N/A,N/A,N/A
2010-06-10,Apr 2010,- $0.08,N/A,N/A,N/A
2010-03-15,Jan 2010,- $0.08,N/A,N/A,N/A
2009-12-11,Oct 2009,- $0.10,N/A,N/A,N/A
2009-10-13,Jul 2009,- $0.05,N/A,N/A,N/A
2009-06-15,Apr 2009,N/A,N/A,N/A,N/A
