earning_date,month,buy_days,sell_days,buy_date,sell_date,buy_price,sell_price,profit
2016-10-13,Jul,-14,0,2016-09-29,2016-10-13,4.92,5.07,0.15000000000000036
2016-06-08,Apr,-14,0,2016-05-25,2016-06-08,6.2,6.23,0.03000000000000025
2016-03-09,Jan,-14,0,2016-02-24,2016-03-09,4.25,4.31,0.05999999999999961
2015-12-08,Oct,-14,0,2015-11-24,2015-12-08,4.52,4.48,-0.03999999999999915
2015-10-13,Jul,-14,0,2015-09-29,2015-10-13,3.12,3.79,0.6699999999999999
2015-06-09,Apr,-14,0,2015-05-26,2015-06-09,2.43,3.1,0.6699999999999999
2015-03-12,Jan,-14,0,2015-02-26,2015-03-12,3.05,3.08,0.03000000000000025
2014-12-09,Oct,-14,0,2014-11-25,2014-12-09,4.64,4.88,0.2400000000000002
2014-10-09,Jul,-14,0,2014-09-25,2014-10-09,5.02,4.77,-0.25
2014-06-09,Apr,-14,0,2014-05-27,2014-06-09,3.84,4.59,0.75
2014-03-11,Jan,-14,0,2014-02-25,2014-03-11,3.8,3.84,0.040000000000000036
2013-12-09,Oct,-14,0,2013-11-25,2013-12-09,2.43,2.44,0.009999999999999787
2013-10-21,Jul,-14,0,2013-10-07,2013-10-21,2.52,2.44,-0.08000000000000007
2013-06-11,Apr,-14,0,2013-05-28,2013-06-11,2.32,2.19,-0.1299999999999999
2013-03-11,Jan,-14,0,2013-02-25,2013-03-11,2.97,2.91,-0.06000000000000005
2012-12-11,Oct,-14,0,2012-11-27,2012-12-11,2.58,2.69,0.10999999999999988
2012-10-15,Jul,-14,0,2012-10-01,2012-10-15,1.96,1.98,0.020000000000000018
2012-06-11,Apr,-14,0,2012-05-29,2012-06-11,1.98,1.9,-0.08000000000000007
2012-03-13,Jan,-14,0,2012-02-28,2012-03-13,2.77,2.83,0.06000000000000005
2011-12-12,Oct,-14,0,2011-11-28,2011-12-12,2.06,2.37,0.31000000000000005
2011-10-17,Jul,-14,0,2011-10-03,2011-10-17,2.31,2.77,0.45999999999999996
2011-06-10,Apr,-14,0,2011-05-27,2011-06-10,3.97,3.74,-0.22999999999999998
2011-03-14,Jan,-14,0,2011-02-28,2011-03-14,4.31,3.9,-0.4099999999999997
2010-12-13,Oct,-14,0,2010-11-29,2010-12-13,4.33,4.83,0.5
2010-10-15,Jul,-14,0,2010-10-01,2010-10-15,3.89,4.3,0.4099999999999997
2010-06-10,Apr,-14,0,2010-05-27,2010-06-10,5.4,4.4,-1.0
2010-03-15,Jan,-14,0,2010-03-01,2010-03-15,6.07,6.24,0.16999999999999993
2009-12-11,Oct,-14,0,2009-11-27,2009-12-11,5.19,5.48,0.29000000000000004
2009-10-13,Jul,-14,0,2009-09-29,2009-10-13,7.29,7.35,0.05999999999999961
2009-06-15,Apr,-14,0,2009-06-01,2009-06-15,4.55,5.41,0.8600000000000003
2016-10-13,Jul,-14,1,2016-09-29,2016-10-14,4.92,5.63,0.71
2016-06-08,Apr,-14,1,2016-05-25,2016-06-09,6.2,6.1,-0.10000000000000053
2016-03-09,Jan,-14,1,2016-02-24,2016-03-10,4.25,4.38,0.1299999999999999
2015-12-08,Oct,-14,1,2015-11-24,2015-12-09,4.52,4.43,-0.08999999999999986
2015-10-13,Jul,-14,1,2015-09-29,2015-10-14,3.12,3.83,0.71
2015-06-09,Apr,-14,1,2015-05-26,2015-06-10,2.43,3.05,0.6199999999999997
2015-03-12,Jan,-14,1,2015-02-26,2015-03-13,3.05,3.31,0.26000000000000023
2014-12-09,Oct,-14,1,2014-11-25,2014-12-10,4.64,4.66,0.020000000000000462
2014-10-09,Jul,-14,1,2014-09-25,2014-10-10,5.02,4.85,-0.16999999999999993
2014-06-09,Apr,-14,1,2014-05-27,2014-06-10,3.84,4.76,0.9199999999999999
2014-03-11,Jan,-14,1,2014-02-25,2014-03-12,3.8,3.89,0.0900000000000003
2013-12-09,Oct,-14,1,2013-11-25,2013-12-10,2.43,2.45,0.020000000000000018
2013-10-21,Jul,-14,1,2013-10-07,2013-10-22,2.52,2.43,-0.08999999999999986
2013-06-11,Apr,-14,1,2013-05-28,2013-06-12,2.32,2.21,-0.10999999999999988
2013-03-11,Jan,-14,1,2013-02-25,2013-03-12,2.97,2.87,-0.10000000000000009
2012-12-11,Oct,-14,1,2012-11-27,2012-12-12,2.58,2.72,0.14000000000000012
2012-10-15,Jul,-14,1,2012-10-01,2012-10-16,1.96,1.89,-0.07000000000000006
2012-06-11,Apr,-14,1,2012-05-29,2012-06-12,1.98,1.89,-0.09000000000000008
2012-03-13,Jan,-14,1,2012-02-28,2012-03-14,2.77,2.78,0.009999999999999787
2011-12-12,Oct,-14,1,2011-11-28,2011-12-13,2.06,2.09,0.029999999999999805
2011-10-17,Jul,-14,1,2011-10-03,2011-10-18,2.31,2.8,0.48999999999999977
2011-06-10,Apr,-14,1,2011-05-27,2011-06-10,3.97,3.74,-0.22999999999999998
2011-03-14,Jan,-14,1,2011-02-28,2011-03-15,4.31,3.74,-0.5699999999999994
2010-12-13,Oct,-14,1,2010-11-29,2010-12-14,4.33,5.15,0.8200000000000003
2010-10-15,Jul,-14,1,2010-10-01,2010-10-15,3.89,4.3,0.4099999999999997
2010-06-10,Apr,-14,1,2010-05-27,2010-06-11,5.4,4.39,-1.0100000000000007
2010-03-15,Jan,-14,1,2010-03-01,2010-03-16,6.07,6.25,0.17999999999999972
2009-12-11,Oct,-14,1,2009-11-27,2009-12-11,5.19,5.48,0.29000000000000004
2009-10-13,Jul,-14,1,2009-09-29,2009-10-14,7.29,7.66,0.3700000000000001
2009-06-15,Apr,-14,1,2009-06-01,2009-06-16,4.55,4.78,0.23000000000000043
2016-10-13,Jul,-14,2,2016-09-29,2016-10-14,4.92,5.63,0.71
2016-06-08,Apr,-14,2,2016-05-25,2016-06-10,6.2,5.99,-0.20999999999999996
2016-03-09,Jan,-14,2,2016-02-24,2016-03-11,4.25,4.42,0.16999999999999993
2015-12-08,Oct,-14,2,2015-11-24,2015-12-10,4.52,4.65,0.13000000000000078
2015-10-13,Jul,-14,2,2015-09-29,2015-10-15,3.12,3.95,0.8300000000000001
2015-06-09,Apr,-14,2,2015-05-26,2015-06-11,2.43,3.02,0.5899999999999999
2015-03-12,Jan,-14,2,2015-02-26,2015-03-13,3.05,3.31,0.26000000000000023
2014-12-09,Oct,-14,2,2014-11-25,2014-12-11,4.64,4.61,-0.02999999999999936
2014-10-09,Jul,-14,2,2014-09-25,2014-10-10,5.02,4.85,-0.16999999999999993
2014-06-09,Apr,-14,2,2014-05-27,2014-06-11,3.84,4.81,0.9699999999999998
2014-03-11,Jan,-14,2,2014-02-25,2014-03-13,3.8,3.92,0.1200000000000001
2013-12-09,Oct,-14,2,2013-11-25,2013-12-11,2.43,2.41,-0.020000000000000018
2013-10-21,Jul,-14,2,2013-10-07,2013-10-23,2.52,2.45,-0.06999999999999984
2013-06-11,Apr,-14,2,2013-05-28,2013-06-13,2.32,2.17,-0.1499999999999999
2013-03-11,Jan,-14,2,2013-02-25,2013-03-13,2.97,2.7,-0.27
2012-12-11,Oct,-14,2,2012-11-27,2012-12-13,2.58,2.65,0.06999999999999984
2012-10-15,Jul,-14,2,2012-10-01,2012-10-17,1.96,1.85,-0.10999999999999988
2012-06-11,Apr,-14,2,2012-05-29,2012-06-13,1.98,1.76,-0.21999999999999997
2012-03-13,Jan,-14,2,2012-02-28,2012-03-15,2.77,2.72,-0.04999999999999982
2011-12-12,Oct,-14,2,2011-11-28,2011-12-14,2.06,2.21,0.1499999999999999
