Date,Period Ending,Estimate,Reported,Surprise,Surprise%
2016-10-27,Sep 2016,$6.64,$7.25,0.61,9.19 %
2016-07-28,Jun 2016,$6.47,$7.00,0.53,8.19 %
2016-04-21,Mar 2016,$6.36,$6.02,-0.34,-5.35 %
2016-02-01,Dec 2015,$6.65,$7.06,0.41,6.17 %
2015-10-22,Sep 2015,$5.87,$5.73,-0.14,-2.39 %
2015-07-16,Jun 2015,$5.45,$4.93,-0.52,-9.54 %
2015-04-23,Mar 2015,$5.38,$5.20,-0.18,-3.35 %
2015-01-29,Dec 2014,$5.86,$5.50,-0.36,-6.14 %
2014-10-16,Sep 2014,$5.34,$4.91,-0.43,-8.05 %
2014-07-17,Jun 2014,$5.16,$5.09,-0.07,-1.36 %
2014-04-16,Mar 2014,$5.39,$5.33,-0.06,-1.11 %
