earning_date,month,buy_days,sell_days,buy_date,sell_date,buy_price,sell_price,profit
2016-08-08,Jun,-14,0,2016-07-25,2016-08-08,29.65,28.620001000000002,-1.0299989999999966
2016-05-06,Mar,-14,0,2016-04-22,2016-05-06,21.75,23.360001,1.6100010000000005
2016-02-05,Dec,-14,0,2016-01-22,2016-02-05,20.74,21.43,0.6900000000000013
2015-12-07,Sep,-14,0,2015-11-23,2015-12-07,24.24,23.52,-0.7199999999999989
2015-08-11,Jun,-14,0,2015-07-28,2015-08-11,21.0,24.559998999999998,3.5599989999999977
2015-05-08,Mar,-14,0,2015-04-24,2015-05-08,31.99,27.219998999999998,-4.770001000000001
2015-02-06,Dec,-14,0,2015-01-23,2015-02-06,28.35,31.700001,3.350000999999999
2014-12-05,Sep,-14,0,2014-11-21,2014-12-05,30.969998999999998,29.83,-1.1399989999999995
2014-08-05,Jun,-14,0,2014-07-22,2014-08-05,23.290001,23.26,-0.030000999999998612
2014-05-02,Mar,-14,0,2014-04-21,2014-05-02,22.700001,19.84,-2.8600010000000005
2014-01-31,Dec,-14,0,2014-01-17,2014-01-31,28.25,23.77,-4.48
2013-12-06,Sep,-14,0,2013-11-22,2013-12-06,28.450001,26.57,-1.880001
2013-08-02,Jun,-14,0,2013-07-19,2013-08-02,25.639999,26.799999,1.1600000000000001
2013-05-03,Mar,-14,0,2013-04-19,2013-05-03,23.309998999999998,24.0,0.6900010000000023
2013-02-07,Dec,-14,0,2013-01-24,2013-02-07,20.98,21.4,0.41999999999999815
2012-11-30,Sep,-14,0,2012-11-16,2012-11-30,21.370001000000002,20.879998999999998,-0.49000200000000405
2012-08-01,Jun,-14,0,2012-07-18,2012-08-01,21.32,20.42,-0.8999999999999986
2012-05-04,Mar,-14,0,2012-04-20,2012-05-04,19.25,15.6,-3.6500000000000004
2012-02-03,Dec,-14,0,2012-01-20,2012-02-03,18.43,18.540001,0.11000100000000046
2011-11-30,Sep,-14,0,2011-11-16,2011-11-30,15.08,16.49,1.4099999999999984
2011-08-10,Jun,-14,0,2011-07-27,2011-08-10,17.780001000000002,14.6,-3.1800010000000025
2011-05-06,Mar,-14,0,2011-04-25,2011-05-06,15.71,16.59,0.879999999999999
2011-02-04,Dec,-14,0,2011-01-21,2011-02-04,14.93,15.4,0.47000000000000064
2010-12-03,Sep,-14,0,2010-11-19,2010-12-03,13.14,13.48,0.33999999999999986
2010-08-06,Jun,-14,0,2010-07-23,2010-08-06,12.93,12.68,-0.25
2010-04-30,Mar,-14,0,2010-04-16,2010-04-30,11.15,12.71,1.5600000000000005
2010-02-05,Dec,-14,0,2010-01-22,2010-02-05,10.25,10.8,0.5500000000000007
2009-11-20,Sep,-14,0,2009-11-06,2009-11-20,8.65,9.83,1.1799999999999997
2009-07-31,Jun,-14,0,2009-07-17,2009-07-31,6.35,6.54,0.1900000000000004
2009-05-08,Mar,-14,0,2009-04-24,2009-05-08,6.37,7.0,0.6299999999999999
2016-08-08,Jun,-14,1,2016-07-25,2016-08-09,29.65,28.6,-1.0499999999999972
2016-05-06,Mar,-14,1,2016-04-22,2016-05-06,21.75,23.360001,1.6100010000000005
