earning_date,month,buy_days,sell_days,buy_date,sell_date,buy_price,sell_price,profit
2016-08-29,Jun,-14,0,2016-08-15,2016-08-29,6.37,6.52,0.14999999999999947
2016-06-15,Mar,-14,0,2016-06-01,2016-06-15,5.63,5.36,-0.2699999999999996
2016-03-24,Dec,-14,0,2016-03-10,2016-03-24,7.4,7.14,-0.2600000000000007
2015-11-23,Sep,-14,0,2015-11-09,2015-11-23,6.92,6.88,-0.040000000000000036
2015-08-17,Jun,-14,0,2015-08-03,2015-08-17,7.25,7.14,-0.11000000000000032
2015-05-20,Mar,-14,0,2015-05-06,2015-05-20,6.28,6.45,0.16999999999999993
2015-03-11,Dec,-14,0,2015-02-25,2015-03-11,4.95,5.11,0.16000000000000014
2014-11-24,Sep,-14,0,2014-11-10,2014-11-24,6.88,6.86,-0.019999999999999574
2014-08-27,Jun,-14,0,2014-08-13,2014-08-27,8.41,8.15,-0.2599999999999998
2016-08-29,Jun,-14,1,2016-08-15,2016-08-30,6.37,6.56,0.1899999999999995
2016-06-15,Mar,-14,1,2016-06-01,2016-06-16,5.63,5.31,-0.3200000000000003
2016-03-24,Dec,-14,1,2016-03-10,2016-03-24,7.4,7.14,-0.2600000000000007
2015-11-23,Sep,-14,1,2015-11-09,2015-11-24,6.92,6.87,-0.04999999999999982
2015-08-17,Jun,-14,1,2015-08-03,2015-08-18,7.25,7.11,-0.13999999999999968
2015-05-20,Mar,-14,1,2015-05-06,2015-05-21,6.28,6.57,0.29000000000000004
2015-03-11,Dec,-14,1,2015-02-25,2015-03-12,4.95,5.08,0.1299999999999999
2014-11-24,Sep,-14,1,2014-11-10,2014-11-25,6.88,6.57,-0.3099999999999996
2014-08-27,Jun,-14,1,2014-08-13,2014-08-28,8.41,7.98,-0.4299999999999997
2016-08-29,Jun,-14,2,2016-08-15,2016-08-31,6.37,6.53,0.16000000000000014
2016-06-15,Mar,-14,2,2016-06-01,2016-06-17,5.63,5.27,-0.3600000000000003
2016-03-24,Dec,-14,2,2016-03-10,2016-03-24,7.4,7.14,-0.2600000000000007
2015-11-23,Sep,-14,2,2015-11-09,2015-11-25,6.92,6.81,-0.11000000000000032
2015-08-17,Jun,-14,2,2015-08-03,2015-08-19,7.25,7.14,-0.11000000000000032
2015-05-20,Mar,-14,2,2015-05-06,2015-05-22,6.28,6.66,0.3799999999999999
2015-03-11,Dec,-14,2,2015-02-25,2015-03-13,4.95,5.13,0.17999999999999972
2014-11-24,Sep,-14,2,2014-11-10,2014-11-26,6.88,6.54,-0.33999999999999986
2014-08-27,Jun,-14,2,2014-08-13,2014-08-29,8.41,7.97,-0.4400000000000004
2016-08-29,Jun,-14,3,2016-08-15,2016-09-01,6.37,6.55,0.17999999999999972
2016-06-15,Mar,-14,3,2016-06-01,2016-06-17,5.63,5.27,-0.3600000000000003
2016-03-24,Dec,-14,3,2016-03-10,2016-03-24,7.4,7.14,-0.2600000000000007
2015-11-23,Sep,-14,3,2015-11-09,2015-11-25,6.92,6.81,-0.11000000000000032
2015-08-17,Jun,-14,3,2015-08-03,2015-08-20,7.25,6.98,-0.2699999999999996
2015-05-20,Mar,-14,3,2015-05-06,2015-05-22,6.28,6.66,0.3799999999999999
2015-03-11,Dec,-14,3,2015-02-25,2015-03-13,4.95,5.13,0.17999999999999972
2014-11-24,Sep,-14,3,2014-11-10,2014-11-26,6.88,6.54,-0.33999999999999986
2014-08-27,Jun,-14,3,2014-08-13,2014-08-29,8.41,7.97,-0.4400000000000004
2016-08-29,Jun,-14,4,2016-08-15,2016-09-02,6.37,6.52,0.14999999999999947
2016-06-15,Mar,-14,4,2016-06-01,2016-06-17,5.63,5.27,-0.3600000000000003
2016-03-24,Dec,-14,4,2016-03-10,2016-03-28,7.4,7.18,-0.22000000000000064
2015-11-23,Sep,-14,4,2015-11-09,2015-11-27,6.92,6.78,-0.13999999999999968
2015-08-17,Jun,-14,4,2015-08-03,2015-08-21,7.25,6.98,-0.2699999999999996
2015-05-20,Mar,-14,4,2015-05-06,2015-05-22,6.28,6.66,0.3799999999999999
2015-03-11,Dec,-14,4,2015-02-25,2015-03-13,4.95,5.13,0.17999999999999972
2014-11-24,Sep,-14,4,2014-11-10,2014-11-28,6.88,6.47,-0.41000000000000014
2014-08-27,Jun,-14,4,2014-08-13,2014-08-29,8.41,7.97,-0.4400000000000004
2016-08-29,Jun,-14,5,2016-08-15,2016-09-02,6.37,6.52,0.14999999999999947
2016-06-15,Mar,-14,5,2016-06-01,2016-06-20,5.63,5.25,-0.3799999999999999
2016-03-24,Dec,-14,5,2016-03-10,2016-03-29,7.4,7.19,-0.20999999999999996
2015-11-23,Sep,-14,5,2015-11-09,2015-11-27,6.92,6.78,-0.13999999999999968
2015-08-17,Jun,-14,5,2015-08-03,2015-08-21,7.25,6.98,-0.2699999999999996
2015-05-20,Mar,-14,5,2015-05-06,2015-05-22,6.28,6.66,0.3799999999999999
2015-03-11,Dec,-14,5,2015-02-25,2015-03-16,4.95,5.14,0.1899999999999995
2014-11-24,Sep,-14,5,2014-11-10,2014-11-28,6.88,6.47,-0.41000000000000014
2014-08-27,Jun,-14,5,2014-08-13,2014-08-29,8.41,7.97,-0.4400000000000004
2016-08-29,Jun,-14,6,2016-08-15,2016-09-02,6.37,6.52,0.14999999999999947
2016-06-15,Mar,-14,6,2016-06-01,2016-06-21,5.63,5.25,-0.3799999999999999
2016-03-24,Dec,-14,6,2016-03-10,2016-03-30,7.4,7.2,-0.20000000000000018
2015-11-23,Sep,-14,6,2015-11-09,2015-11-27,6.92,6.78,-0.13999999999999968
2015-08-17,Jun,-14,6,2015-08-03,2015-08-21,7.25,6.98,-0.2699999999999996
2015-05-20,Mar,-14,6,2015-05-06,2015-05-26,6.28,6.58,0.2999999999999998
2015-03-11,Dec,-14,6,2015-02-25,2015-03-17,4.95,5.19,0.2400000000000002
2014-11-24,Sep,-14,6,2014-11-10,2014-11-28,6.88,6.47,-0.41000000000000014
2014-08-27,Jun,-14,6,2014-08-13,2014-09-02,8.41,7.45,-0.96
2016-08-29,Jun,-14,7,2016-08-15,2016-09-02,6.37,6.52,0.14999999999999947
2016-06-15,Mar,-14,7,2016-06-01,2016-06-22,5.63,5.23,-0.39999999999999947
2016-03-24,Dec,-14,7,2016-03-10,2016-03-31,7.4,7.18,-0.22000000000000064
2015-11-23,Sep,-14,7,2015-11-09,2015-11-30,6.92,6.86,-0.05999999999999961
2015-08-17,Jun,-14,7,2015-08-03,2015-08-24,7.25,6.21,-1.04
2015-05-20,Mar,-14,7,2015-05-06,2015-05-27,6.28,6.46,0.17999999999999972
2015-03-11,Dec,-14,7,2015-02-25,2015-03-18,4.95,5.45,0.5
2014-11-24,Sep,-14,7,2014-11-10,2014-12-01,6.88,6.33,-0.5499999999999998
2014-08-27,Jun,-14,7,2014-08-13,2014-09-03,8.41,7.4,-1.0099999999999998
2016-08-29,Jun,-14,8,2016-08-15,2016-09-06,6.37,6.55,0.17999999999999972
2016-06-15,Mar,-14,8,2016-06-01,2016-06-23,5.63,5.2,-0.4299999999999997
2016-03-24,Dec,-14,8,2016-03-10,2016-04-01,7.4,7.18,-0.22000000000000064
2015-11-23,Sep,-14,8,2015-11-09,2015-12-01,6.92,7.0,0.08000000000000007
2015-08-17,Jun,-14,8,2015-08-03,2015-08-25,7.25,6.49,-0.7599999999999998
2015-05-20,Mar,-14,8,2015-05-06,2015-05-28,6.28,6.3,0.019999999999999574
2015-03-11,Dec,-14,8,2015-02-25,2015-03-19,4.95,5.58,0.6299999999999999
2014-11-24,Sep,-14,8,2014-11-10,2014-12-02,6.88,6.35,-0.5300000000000002
2014-08-27,Jun,-14,8,2014-08-13,2014-09-04,8.41,7.38,-1.0300000000000002
2016-08-29,Jun,-14,9,2016-08-15,2016-09-07,6.37,6.6,0.22999999999999954
2016-06-15,Mar,-14,9,2016-06-01,2016-06-24,5.63,5.06,-0.5700000000000003
2016-03-24,Dec,-14,9,2016-03-10,2016-04-01,7.4,7.18,-0.22000000000000064
2015-11-23,Sep,-14,9,2015-11-09,2015-12-02,6.92,7.14,0.21999999999999975
2015-08-17,Jun,-14,9,2015-08-03,2015-08-26,7.25,6.38,-0.8700000000000001
2015-05-20,Mar,-14,9,2015-05-06,2015-05-29,6.28,6.27,-0.010000000000000675
2015-03-11,Dec,-14,9,2015-02-25,2015-03-20,4.95,5.69,0.7400000000000002
2014-11-24,Sep,-14,9,2014-11-10,2014-12-03,6.88,6.23,-0.6499999999999995
2014-08-27,Jun,-14,9,2014-08-13,2014-09-05,8.41,7.42,-0.9900000000000002
2016-08-29,Jun,-14,10,2016-08-15,2016-09-08,6.37,6.72,0.34999999999999964
2016-06-15,Mar,-14,10,2016-06-01,2016-06-24,5.63,5.06,-0.5700000000000003
2016-03-24,Dec,-14,10,2016-03-10,2016-04-01,7.4,7.18,-0.22000000000000064
2015-11-23,Sep,-14,10,2015-11-09,2015-12-03,6.92,7.43,0.5099999999999998
2015-08-17,Jun,-14,10,2015-08-03,2015-08-27,7.25,6.59,-0.6600000000000001
2015-05-20,Mar,-14,10,2015-05-06,2015-05-29,6.28,6.27,-0.010000000000000675
2015-03-11,Dec,-14,10,2015-02-25,2015-03-20,4.95,5.69,0.7400000000000002
2014-11-24,Sep,-14,10,2014-11-10,2014-12-04,6.88,6.07,-0.8099999999999996
2014-08-27,Jun,-14,10,2014-08-13,2014-09-05,8.41,7.42,-0.9900000000000002
2016-08-29,Jun,-14,11,2016-08-15,2016-09-09,6.37,6.77,0.39999999999999947
2016-06-15,Mar,-14,11,2016-06-01,2016-06-24,5.63,5.06,-0.5700000000000003
2016-03-24,Dec,-14,11,2016-03-10,2016-04-04,7.4,7.1,-0.3000000000000007
2015-11-23,Sep,-14,11,2015-11-09,2015-12-04,6.92,7.52,0.5999999999999996
2015-08-17,Jun,-14,11,2015-08-03,2015-08-28,7.25,6.5,-0.75
2015-05-20,Mar,-14,11,2015-05-06,2015-05-29,6.28,6.27,-0.010000000000000675
2015-03-11,Dec,-14,11,2015-02-25,2015-03-20,4.95,5.69,0.7400000000000002
2014-11-24,Sep,-14,11,2014-11-10,2014-12-05,6.88,5.99,-0.8899999999999997
2014-08-27,Jun,-14,11,2014-08-13,2014-09-05,8.41,7.42,-0.9900000000000002
2016-08-29,Jun,-14,12,2016-08-15,2016-09-09,6.37,6.77,0.39999999999999947
2016-06-15,Mar,-14,12,2016-06-01,2016-06-27,5.63,4.99,-0.6399999999999997
2016-03-24,Dec,-14,12,2016-03-10,2016-04-05,7.4,7.1,-0.3000000000000007
2015-11-23,Sep,-14,12,2015-11-09,2015-12-04,6.92,7.52,0.5999999999999996
2015-08-17,Jun,-14,12,2015-08-03,2015-08-28,7.25,6.5,-0.75
2015-05-20,Mar,-14,12,2015-05-06,2015-06-01,6.28,6.47,0.1899999999999995
2015-03-11,Dec,-14,12,2015-02-25,2015-03-23,4.95,5.58,0.6299999999999999
2014-11-24,Sep,-14,12,2014-11-10,2014-12-05,6.88,5.99,-0.8899999999999997
2014-08-27,Jun,-14,12,2014-08-13,2014-09-08,8.41,7.13,-1.2800000000000002
2016-08-29,Jun,-14,13,2016-08-15,2016-09-09,6.37,6.77,0.39999999999999947
2016-06-15,Mar,-14,13,2016-06-01,2016-06-28,5.63,4.91,-0.7199999999999998
2016-03-24,Dec,-14,13,2016-03-10,2016-04-06,7.4,7.16,-0.2400000000000002
2015-11-23,Sep,-14,13,2015-11-09,2015-12-04,6.92,7.52,0.5999999999999996
2015-08-17,Jun,-14,13,2015-08-03,2015-08-28,7.25,6.5,-0.75
2015-05-20,Mar,-14,13,2015-05-06,2015-06-02,6.28,6.66,0.3799999999999999
2015-03-11,Dec,-14,13,2015-02-25,2015-03-24,4.95,5.53,0.5800000000000001
2014-11-24,Sep,-14,13,2014-11-10,2014-12-05,6.88,5.99,-0.8899999999999997
2014-08-27,Jun,-14,13,2014-08-13,2014-09-09,8.41,7.03,-1.38
2016-08-29,Jun,-14,14,2016-08-15,2016-09-12,6.37,6.8,0.4299999999999997
2016-06-15,Mar,-14,14,2016-06-01,2016-06-29,5.63,5.04,-0.5899999999999999
2016-03-24,Dec,-14,14,2016-03-10,2016-04-07,7.4,7.23,-0.16999999999999993
2015-11-23,Sep,-14,14,2015-11-09,2015-12-07,6.92,7.64,0.7199999999999998
2015-08-17,Jun,-14,14,2015-08-03,2015-08-31,7.25,6.52,-0.7300000000000004
2015-05-20,Mar,-14,14,2015-05-06,2015-06-03,6.28,6.66,0.3799999999999999
2015-03-11,Dec,-14,14,2015-02-25,2015-03-25,4.95,5.53,0.5800000000000001
2014-11-24,Sep,-14,14,2014-11-10,2014-12-08,6.88,5.87,-1.0099999999999998
2014-08-27,Jun,-14,14,2014-08-13,2014-09-10,8.41,6.98,-1.4299999999999997
