Date,Period Ending,Estimate,Reported,Surprise,Surprise%
2016-11-15,Sep 2016,N/A,N/A,N/A,N/A
2016-07-05,Mar 2016,N/A,N/A,N/A,N/A
2016-02-16,Dec 2015,N/A,$0.00,N/A,N/A
2015-10-01,Jun 2015,N/A,N/A,N/A,N/A
2015-07-01,Mar 2015,N/A,N/A,N/A,N/A
2015-04-03,Dec 2014,N/A,N/A,N/A,N/A
2015-01-01,Sep 2014,N/A,N/A,N/A,N/A
2014-08-21,Jun 2014,N/A,$0.02,N/A,N/A
2014-07-15,Mar 2014,N/A,$0.04,N/A,N/A
2014-02-13,Dec 2013,N/A,$0.05,N/A,N/A
2013-11-18,Sep 2013,N/A,$0.01,N/A,N/A
2013-08-13,Jun 2013,N/A,$0.05,N/A,N/A
2013-07-12,Mar 2013,N/A,- $0.06,N/A,N/A
2013-02-15,Dec 2012,N/A,$0.06,N/A,N/A
2012-11-19,Sep 2012,N/A,$0.10,N/A,N/A
2012-08-15,Jun 2012,N/A,$0.14,N/A,N/A
2012-07-12,Mar 2012,N/A,$0.09,N/A,N/A
2012-02-15,Dec 2011,N/A,$0.12,N/A,N/A
2011-11-16,Sep 2011,$0.10,$0.06,-0.04,-40.00 %
2011-08-18,Jun 2011,$0.08,$0.09,0.01,12.50 %
2011-07-13,Mar 2011,$0.12,$0.05,-0.07,-58.33 %
2011-02-17,Dec 2010,$0.10,$0.13,0.03,30.00 %
2010-11-16,Sep 2010,$0.14,N/A,N/A,N/A
2010-08-18,Jun 2010,$0.05,N/A,N/A,N/A
2010-07-13,Mar 2010,- $0.08,N/A,N/A,N/A
2010-02-11,Dec 2009,N/A,N/A,N/A,N/A
2009-11-19,Sep 2009,N/A,N/A,N/A,N/A
2009-07-10,Mar 2009,N/A,N/A,N/A,N/A
