earning_date,month,buy_days,sell_days,buy_date,sell_date,buy_price,sell_price,profit
2016-11-22,Sep,-14,0,2016-11-08,2016-11-22,0.96,0.78,-0.17999999999999994
2016-07-05,Mar,-14,0,2016-06-21,2016-07-05,0.63,0.61,-0.020000000000000018
2016-02-16,Dec,-14,0,2016-02-02,2016-02-16,0.99,0.93,-0.05999999999999994
2015-10-01,Jun,-14,0,2015-09-17,2015-10-01,1.28,1.24,-0.040000000000000036
2015-07-01,Mar,-14,0,2015-06-17,2015-07-01,1.36,1.14,-0.2200000000000002
2015-04-03,Dec,-14,0,2015-03-20,2015-04-02,1.3,1.45,0.1499999999999999
2015-01-01,Sep,-14,0,2014-12-18,2014-12-31,1.03,1.05,0.020000000000000018
2014-08-21,Jun,-14,0,2014-08-07,2014-08-21,1.6,1.6,0.0
2014-07-15,Mar,-14,0,2014-07-01,2014-07-15,1.79,1.62,-0.16999999999999993
2014-02-13,Dec,-14,0,2014-01-30,2014-02-13,2.15,2.19,0.040000000000000036
2013-11-18,Sep,-14,0,2013-11-04,2013-11-18,1.86,1.9,0.039999999999999813
2013-08-13,Jun,-14,0,2013-07-30,2013-08-13,1.74,1.67,-0.07000000000000006
2013-07-12,Mar,-14,0,2013-06-28,2013-07-12,1.67,1.69,0.020000000000000018
2013-02-15,Dec,-14,0,2013-02-01,2013-02-15,1.68,1.66,-0.020000000000000018
2012-11-19,Sep,-14,0,2012-11-05,2012-11-19,1.66,1.69,0.030000000000000027
2012-08-15,Jun,-14,0,2012-08-01,2012-08-15,2.0,2.03,0.029999999999999805
2012-07-12,Mar,-14,0,2012-06-28,2012-07-12,2.0,2.1,0.10000000000000009
2012-02-15,Dec,-14,0,2012-02-01,2012-02-15,1.77,2.0,0.22999999999999998
2011-11-16,Sep,-14,0,2011-11-02,2011-11-16,1.67,1.61,-0.05999999999999983
2011-08-18,Jun,-14,0,2011-08-04,2011-08-18,1.69,1.69,0.0
2011-07-13,Mar,-14,0,2011-06-29,2011-07-13,2.1,2.0,-0.10000000000000009
2011-02-17,Dec,-14,0,2011-02-03,2011-02-17,2.08,2.36,0.2799999999999998
2010-11-16,Sep,-14,0,2010-11-02,2010-11-16,2.0,2.15,0.1499999999999999
2010-08-18,Jun,-14,0,2010-08-04,2010-08-18,2.48,2.52,0.040000000000000036
2010-07-13,Mar,-14,0,2010-06-29,2010-07-13,1.67,1.79,0.1200000000000001
2010-02-11,Dec,-14,0,2010-01-28,2010-02-11,2.42,2.35,-0.06999999999999984
2009-11-19,Sep,-14,0,2009-11-05,2009-11-19,1.39,1.9,0.51
2009-07-10,Mar,-14,0,2009-06-26,2009-07-10,0.62,0.56,-0.05999999999999994
2016-07-05,Mar,-14,1,2016-06-21,2016-07-06,0.63,0.6,-0.030000000000000027
