Date,Period Ending,Estimate,Reported,Surprise,Surprise%
2016-12-05,Sep 2016,N/A,N/A,N/A,N/A
2016-08-08,Jun 2016,N/A,- $0.51,N/A,N/A
2016-05-23,Mar 2016,N/A,- $0.14,N/A,N/A
2016-02-05,Dec 2015,N/A,- $0.23,N/A,N/A
2015-12-21,Sep 2015,N/A,- $0.64,N/A,N/A
2015-08-11,Jun 2015,N/A,- $0.07,N/A,N/A
2015-05-12,Mar 2015,N/A,$0.11,N/A,N/A
2015-02-06,Dec 2014,N/A,- $0.40,N/A,N/A
2014-12-15,Sep 2014,N/A,- $0.16,N/A,N/A
2014-08-11,Jun 2014,N/A,- $0.54,N/A,N/A
2014-05-19,Mar 2014,N/A,N/A,N/A,N/A
2014-02-14,Dec 2013,N/A,$0.10,N/A,N/A
2013-12-09,Sep 2013,N/A,$0.24,N/A,N/A
2013-08-13,Jun 2013,N/A,- $0.28,N/A,N/A
2013-05-07,Mar 2013,N/A,- $0.18,N/A,N/A
2013-02-11,Dec 2012,N/A,- $0.17,N/A,N/A
2012-12-10,Sep 2012,N/A,- $0.27,N/A,N/A
2012-08-07,Jun 2012,N/A,- $0.50,N/A,N/A
2012-05-08,Mar 2012,N/A,- $0.20,N/A,N/A
2012-02-08,Dec 2011,N/A,$0.50,N/A,N/A
2011-12-12,Sep 2011,N/A,$0.14,N/A,N/A
2011-08-08,Jun 2011,N/A,$0.54,N/A,N/A
2011-05-09,Mar 2011,N/A,$0.27,N/A,N/A
2011-02-04,Dec 2010,N/A,$0.27,N/A,N/A
2010-12-09,Sep 2010,N/A,$1.70,N/A,N/A
2010-07-30,Jun 2010,N/A,N/A,N/A,N/A
2010-05-06,Mar 2010,N/A,N/A,N/A,N/A
2010-03-02,Dec 2009,N/A,N/A,N/A,N/A
2009-11-20,Sep 2009,N/A,N/A,N/A,N/A
2009-07-31,Jun 2009,N/A,N/A,N/A,N/A
