earning_date,month,buy_days,sell_days,buy_date,sell_date,buy_price,sell_price,profit
2016-08-08,Jun,-14,0,2016-07-25,2016-08-08,3.91,3.55,-0.3600000000000003
2016-05-23,Mar,-14,0,2016-05-09,2016-05-23,2.7,2.66,-0.040000000000000036
2016-02-05,Dec,-14,0,2016-01-22,2016-02-05,3.01,2.9,-0.10999999999999988
2015-12-21,Sep,-14,0,2015-12-07,2015-12-21,3.3,3.08,-0.21999999999999975
2015-08-11,Jun,-14,0,2015-07-28,2015-08-11,3.59,3.18,-0.4099999999999997
2015-05-12,Mar,-14,0,2015-04-28,2015-05-12,4.16,3.59,-0.5700000000000003
2015-02-06,Dec,-14,0,2015-01-23,2015-02-06,4.44,4.42,-0.020000000000000462
2014-12-15,Sep,-14,0,2014-12-01,2014-12-15,3.92,4.71,0.79
2014-08-11,Jun,-14,0,2014-07-28,2014-08-11,3.91,3.88,-0.03000000000000025
2014-05-19,Mar,-14,0,2014-05-05,2014-05-19,6.07,4.4,-1.67
2014-02-14,Dec,-14,0,2014-01-31,2014-02-14,7.35,7.42,0.07000000000000028
2013-12-09,Sep,-14,0,2013-11-25,2013-12-09,7.12,7.89,0.7699999999999996
2013-08-13,Jun,-14,0,2013-07-30,2013-08-13,7.65,6.61,-1.04
2013-05-07,Mar,-14,0,2013-04-23,2013-05-07,6.3,7.12,0.8200000000000003
2013-02-11,Dec,-14,0,2013-01-28,2013-02-11,5.05,4.67,-0.3799999999999999
2012-12-10,Sep,-14,0,2012-11-26,2012-12-10,5.73,4.83,-0.9000000000000004
2012-08-07,Jun,-14,0,2012-07-24,2012-08-07,7.85,6.52,-1.33
2012-05-08,Mar,-14,0,2012-04-24,2012-05-08,10.11,7.7,-2.4099999999999993
2012-02-08,Dec,-14,0,2012-01-25,2012-02-08,7.52,9.92,2.4000000000000004
2011-12-12,Sep,-14,0,2011-11-28,2011-12-12,7.73,7.85,0.11999999999999922
2011-08-08,Jun,-14,0,2011-07-25,2011-08-08,8.11,6.8,-1.3099999999999996
2011-05-09,Mar,-14,0,2011-04-25,2011-05-09,10.75,9.29,-1.4600000000000009
2011-02-04,Dec,-14,0,2011-01-21,2011-02-04,12.55,10.73,-1.8200000000000003
2010-12-09,Sep,-14,0,2010-11-26,2010-12-09,11.0,11.84,0.8399999999999999
2010-07-30,Jun,-14,0,2010-07-16,2010-07-30,11.2,12.0,0.8000000000000007
2010-05-06,Mar,-14,0,2010-04-22,2010-05-06,9.16,12.6,3.4399999999999995
2010-03-02,Dec,-14,0,2010-02-16,2010-03-02,9.4,12.0,2.5999999999999996
2009-11-20,Sep,-14,0,2009-11-06,2009-11-20,4.28,4.3,0.019999999999999574
2009-07-31,Jun,-14,0,2009-07-17,2009-07-31,4.0,5.25,1.25
2016-08-08,Jun,-14,1,2016-07-25,2016-08-09,3.91,3.5,-0.41000000000000014
2016-05-23,Mar,-14,1,2016-05-09,2016-05-24,2.7,2.66,-0.040000000000000036
2016-02-05,Dec,-14,1,2016-01-22,2016-02-05,3.01,2.9,-0.10999999999999988
2015-12-21,Sep,-14,1,2015-12-07,2015-12-22,3.3,2.94,-0.3599999999999999
2015-08-11,Jun,-14,1,2015-07-28,2015-08-12,3.59,3.13,-0.45999999999999996
2015-05-12,Mar,-14,1,2015-04-28,2015-05-13,4.16,3.55,-0.6100000000000003
2015-02-06,Dec,-14,1,2015-01-23,2015-02-06,4.44,4.42,-0.020000000000000462
2014-12-15,Sep,-14,1,2014-12-01,2014-12-16,3.92,5.31,1.3899999999999997
2014-08-11,Jun,-14,1,2014-07-28,2014-08-12,3.91,3.85,-0.06000000000000005
2014-05-19,Mar,-14,1,2014-05-05,2014-05-20,6.07,4.55,-1.5200000000000005
2014-02-14,Dec,-14,1,2014-01-31,2014-02-14,7.35,7.42,0.07000000000000028
2013-12-09,Sep,-14,1,2013-11-25,2013-12-10,7.12,7.88,0.7599999999999998
2013-08-13,Jun,-14,1,2013-07-30,2013-08-14,7.65,6.9,-0.75
2013-05-07,Mar,-14,1,2013-04-23,2013-05-08,6.3,6.9,0.6000000000000005
2013-02-11,Dec,-14,1,2013-01-28,2013-02-12,5.05,4.66,-0.3899999999999997
2012-12-10,Sep,-14,1,2012-11-26,2012-12-11,5.73,4.85,-0.8800000000000008
2012-08-07,Jun,-14,1,2012-07-24,2012-08-08,7.85,6.32,-1.5299999999999994
2012-05-08,Mar,-14,1,2012-04-24,2012-05-09,10.11,7.6,-2.51
2012-02-08,Dec,-14,1,2012-01-25,2012-02-09,7.52,9.91,2.3900000000000006
2011-12-12,Sep,-14,1,2011-11-28,2011-12-13,7.73,7.85,0.11999999999999922
2011-08-08,Jun,-14,1,2011-07-25,2011-08-09,8.11,7.03,-1.0799999999999992
2011-05-09,Mar,-14,1,2011-04-25,2011-05-10,10.75,9.6,-1.1500000000000004
2011-02-04,Dec,-14,1,2011-01-21,2011-02-04,12.55,10.73,-1.8200000000000003
2010-12-09,Sep,-14,1,2010-11-26,2010-12-10,11.0,14.4,3.4000000000000004
2010-07-30,Jun,-14,1,2010-07-16,2010-07-30,11.2,12.0,0.8000000000000007
2010-05-06,Mar,-14,1,2010-04-22,2010-05-07,9.16,12.6,3.4399999999999995
2010-03-02,Dec,-14,1,2010-02-16,2010-03-03,9.4,12.0,2.5999999999999996
2009-11-20,Sep,-14,1,2009-11-06,2009-11-20,4.28,4.3,0.019999999999999574
2009-07-31,Jun,-14,1,2009-07-17,2009-07-31,4.0,5.25,1.25
2016-08-08,Jun,-14,2,2016-07-25,2016-08-10,3.91,3.3,-0.6100000000000003
2016-05-23,Mar,-14,2,2016-05-09,2016-05-25,2.7,2.75,0.04999999999999982
2016-02-05,Dec,-14,2,2016-01-22,2016-02-05,3.01,2.9,-0.10999999999999988
2015-12-21,Sep,-14,2,2015-12-07,2015-12-23,3.3,2.99,-0.3099999999999996
2015-08-11,Jun,-14,2,2015-07-28,2015-08-13,3.59,3.08,-0.5099999999999998
2015-05-12,Mar,-14,2,2015-04-28,2015-05-14,4.16,3.61,-0.5500000000000003
2015-02-06,Dec,-14,2,2015-01-23,2015-02-06,4.44,4.42,-0.020000000000000462
2014-12-15,Sep,-14,2,2014-12-01,2014-12-17,3.92,5.38,1.46
2014-08-11,Jun,-14,2,2014-07-28,2014-08-13,3.91,3.88,-0.03000000000000025
2014-05-19,Mar,-14,2,2014-05-05,2014-05-21,6.07,4.54,-1.5300000000000002
2014-02-14,Dec,-14,2,2014-01-31,2014-02-14,7.35,7.42,0.07000000000000028
2013-12-09,Sep,-14,2,2013-11-25,2013-12-11,7.12,7.5,0.3799999999999999
2013-08-13,Jun,-14,2,2013-07-30,2013-08-15,7.65,6.89,-0.7600000000000007
2013-05-07,Mar,-14,2,2013-04-23,2013-05-09,6.3,6.93,0.6299999999999999
2013-02-11,Dec,-14,2,2013-01-28,2013-02-13,5.05,4.52,-0.5300000000000002
2012-12-10,Sep,-14,2,2012-11-26,2012-12-12,5.73,4.81,-0.9200000000000008
2012-08-07,Jun,-14,2,2012-07-24,2012-08-09,7.85,6.37,-1.4799999999999995
2012-05-08,Mar,-14,2,2012-04-24,2012-05-10,10.11,7.75,-2.3599999999999994
2012-02-08,Dec,-14,2,2012-01-25,2012-02-10,7.52,9.81,2.290000000000001
2011-12-12,Sep,-14,2,2011-11-28,2011-12-14,7.73,7.85,0.11999999999999922
