ticker,date,estimate,period,reported,surprise1,surprise2
a,2017-02-21,$0.49,"Jan 2017","","",""
a,2016-11-15,$0.52,"Oct 2016",$0.59,0.07,0.07
a,2016-08-17,$0.47,"Jul 2016",$0.49,0.02,0.02
a,2016-05-16,$0.39,"Apr 2016",$0.44,0.05,0.05
a,2016-02-16,$0.43,"Jan 2016",$0.46,0.03,0.03
a,2015-11-16,$0.47,"Oct 2015",$0.50,0.03,0.03
a,2015-08-17,$0.41,"Jul 2015",$0.44,0.03,0.03
a,2015-05-18,$0.39,"Apr 2015",$0.38,-0.01,-0.01
a,2015-02-17,$0.41,"Jan 2015",$0.41,0.0,0.0
a,2014-11-17,$0.50,"Oct 2014",$0.88,0.38,0.38
a,2014-08-14,$0.74,"Jul 2014",$0.78,0.04,0.04
a,2014-05-14,$0.72,"Apr 2014",$0.72,0.0,0.0
a,2014-02-13,$0.66,"Jan 2014",$0.67,0.01,0.01
a,2013-11-14,$0.76,"Oct 2013",$0.81,0.05,0.05
a,2013-08-14,$0.62,"Jul 2013",$0.68,0.06,0.06
a,2013-05-14,$0.67,"Apr 2013",$0.77,0.1,0.1
a,2013-02-14,$0.66,"Jan 2013",$0.63,-0.03,-0.03
a,2012-11-19,$0.80,"Oct 2012",$0.84,0.04,0.04
a,2012-08-15,$0.83,"Jul 2012",$0.79,-0.04,-0.04
a,2012-05-14,$0.73,"Apr 2012",$0.78,0.05,0.05
a,2012-02-15,$0.69,"Jan 2012",$0.69,0.0,0.0
a,2011-11-15,$0.81,"Oct 2011",$0.84,0.03,0.03
a,2011-08-15,$0.73,"Jul 2011",$0.77,0.04,0.04
a,2011-05-13,$0.65,"Apr 2011",$0.74,0.09,0.09
a,2011-02-14,$0.58,"Jan 2011",$0.60,0.02,0.02
a,2010-11-12,$0.60,"Oct 2010","","",""
a,2010-08-16,$0.48,"Jul 2010","","",""
a,2010-05-17,$0.42,"Apr 2010","","",""
a,2010-02-12,$0.32,"Jan 2010","","",""
a,2009-11-13,$0.23,"Oct 2009","","",""
a,2009-08-17,$0.11,"Jul 2009","","",""
a,2009-05-14,$0.14,"Apr 2009","","",""
aal,2017-01-27,$0.88,"Dec 2016","","",""
aal,2016-10-20,$1.68,"Sep 2016",$2.80,1.12,1.12
aal,2016-07-22,$1.60,"Jun 2016",$1.77,0.17,0.17
aal,2016-04-22,$1.18,"Mar 2016",$1.25,0.07,0.07
aal,2016-01-29,$1.96,"Dec 2015",$2.00,0.04,0.04
aal,2015-10-23,$2.72,"Sep 2015",$2.77,0.05,0.05
aal,2015-07-24,$2.59,"Jun 2015",$2.62,0.03,0.03
aal,2015-04-24,$1.70,"Mar 2015",$1.73,0.03,0.03
aal,2015-01-27,$1.51,"Dec 2014",$1.52,0.01,0.01
aal,2014-10-23,$1.63,"Sep 2014",$1.66,0.03,0.03
aal,2014-07-24,$1.94,"Jun 2014",$1.98,0.04,0.04
aal,2014-04-24,$0.50,"Mar 2014",$0.54,0.04,0.04
aal,2014-01-28,$0.54,"Dec 2013",$1.51,0.97,0.97
aap,2017-02-09,$1.08,"Dec 2016","","",""
aap,2016-11-14,$1.72,"Sep 2016",$1.73,0.01,0.01
aap,2016-08-16,$2.13,"Jun 2016",$1.90,-0.23,-0.23
aap,2016-05-19,$2.61,"Mar 2016",$2.51,-0.1,-0.1
aap,2016-02-11,$1.21,"Dec 2015",$1.22,0.01,0.01
aap,2015-11-12,$2.06,"Sep 2015",$1.95,-0.11,-0.11
aap,2015-08-13,$2.25,"Jun 2015",$2.27,0.02,0.02
aap,2015-05-21,$2.50,"Mar 2015",$2.39,-0.11,-0.11
aap,2015-02-12,$1.48,"Dec 2014",$1.54,0.06,0.06
aap,2014-11-06,$1.87,"Sep 2014",$1.89,0.02,0.02
aap,2014-08-14,$2.01,"Jun 2014",$2.08,0.07,0.07
aap,2014-05-15,$2.16,"Mar 2014",$2.25,0.09,0.09
aap,2014-02-06,$0.78,"Dec 2013",$0.94,0.16,0.16
aap,2013-10-31,$1.42,"Sep 2013",$1.48,0.06,0.06
aap,2013-08-08,$1.48,"Jun 2013",$1.59,0.11,0.11
aap,2013-05-23,$1.61,"Mar 2013",$1.65,0.04,0.04
aap,2013-02-07,$0.75,"Dec 2012",$0.88,0.13,0.13
aap,2012-11-08,$1.21,"Sep 2012",$1.21,0.0,0.0
aap,2012-08-09,$1.40,"Jun 2012",$1.34,-0.06,-0.06
aap,2012-05-17,$1.84,"Mar 2012",$1.79,-0.05,-0.05
aap,2012-02-16,$0.74,"Dec 2011",$0.90,0.16,0.16
aap,2011-11-09,$1.19,"Sep 2011",$1.41,0.22,0.22
aap,2011-08-10,$1.39,"Jun 2011",$1.46,0.07,0.07
aap,2011-05-18,$1.39,"Mar 2011",$1.35,-0.04,-0.04
aap,2011-02-09,$0.55,"Dec 2010",$0.57,0.02,0.02
aap,2010-11-10,$0.92,"Sep 2010","","",""
aap,2010-08-11,$1.02,"Jun 2010","","",""
aap,2010-05-19,$1.00,"Mar 2010","","",""
aap,2010-02-17,$0.46,"Dec 2009","","",""
aap,2009-11-11,$0.66,"Sep 2009","","",""
aap,2009-08-12,$0.83,"Jun 2009","","",""
aap,2009-05-20,$0.90,"Mar 2009","","",""
aapl,2017-01-31,$3.22,"Dec 2016","","",""
aapl,2016-10-25,$1.66,"Sep 2016",$1.67,0.01,0.01
aapl,2016-07-26,$1.39,"Jun 2016",$1.42,0.03,0.03
aapl,2016-04-26,$1.97,"Mar 2016",$1.90,-0.07,-0.07
aapl,2016-01-26,$3.23,"Dec 2015",$3.28,0.05,0.05
aapl,2015-10-27,$1.88,"Sep 2015",$1.96,0.08,0.08
aapl,2015-07-21,$1.80,"Jun 2015",$1.85,0.05,0.05
aapl,2015-04-27,$2.19,"Mar 2015",$2.33,0.14,0.14
aapl,2015-01-27,$2.60,"Dec 2014",$3.06,0.46,0.46
aapl,2014-10-20,$1.30,"Sep 2014",$1.42,0.12,0.12
aapl,2014-07-22,$1.22,"Jun 2014",$1.28,0.06,0.06
aapl,2014-04-23,$10.21,"Mar 2014",$11.62,1.41,1.41
aapl,2014-01-27,$14.04,"Dec 2013",$14.50,0.46,0.46
aapl,2013-10-28,$7.89,"Sep 2013",$8.26,0.37,0.37
aapl,2013-07-23,$7.31,"Jun 2013",$7.47,0.16,0.16
aapl,2013-04-23,$10.18,"Mar 2013",$10.09,-0.09,-0.09
aapl,2013-01-23,$13.44,"Dec 2012",$13.81,0.37,0.37
aapl,2012-10-25,$8.79,"Sep 2012",$8.67,-0.12,-0.12
aapl,2012-07-24,$10.35,"Jun 2012",$9.32,-1.03,-1.03
aapl,2012-04-24,$10.03,"Mar 2012",$12.30,2.27,2.27
aapl,2012-01-24,$10.10,"Dec 2011",$13.87,3.77,3.77
aapl,2011-10-18,$7.31,"Sep 2011",$7.05,-0.26,-0.26
aapl,2011-07-19,$5.81,"Jun 2011",$7.79,1.98,1.98
aapl,2011-04-20,$5.35,"Mar 2011",$6.40,1.05,1.05
aapl,2011-01-18,$5.39,"Dec 2010",$6.43,1.04,1.04
aapl,2010-10-18,$4.05,"Sep 2010","","",""
aapl,2010-07-20,$3.08,"Jun 2010","","",""
aapl,2010-04-20,$2.43,"Mar 2010","","",""
aapl,2010-01-25,$2.08,"Dec 2009","","",""
aapl,2009-10-19,$1.43,"Sep 2009","","",""
aapl,2009-07-21,$1.15,"Jun 2009","","",""
abbv,2017-01-27,$1.20,"Dec 2016","","",""
abbv,2016-10-28,$1.21,"Sep 2016",$1.21,0.0,0.0
abbv,2016-07-29,$1.20,"Jun 2016",$1.26,0.06,0.06
abbv,2016-04-28,$1.12,"Mar 2016",$1.15,0.03,0.03
abbv,2016-01-29,$1.13,"Dec 2015",$1.13,0.0,0.0
abbv,2015-10-30,$1.07,"Sep 2015",$1.13,0.06,0.06
abbv,2015-07-24,$1.06,"Jun 2015",$1.08,0.02,0.02
abbv,2015-04-23,$0.84,"Mar 2015",$0.94,0.1,0.1
abbv,2015-01-30,$0.85,"Dec 2014",$0.89,0.04,0.04
abbv,2014-10-31,$0.77,"Sep 2014",$0.89,0.12,0.12
