#	Symbol	StartDate	Size(MB)	Description	Exchange	Industry	Sector
1	A	11/18/1999	77.25	"Agilent Technologies, Inc."	NYSE	"Biotechnology: Laboratory Analytical Instruments"	"Capital Goods"
2	AA	1/2/1998	92.75	"Alcoa Corporation"	NYSE	"Metal Fabrications"	"Capital Goods"
3	AAN	4/30/2007	37.92	"Aaron's,  Inc."	NYSE	"Diversified Commercial Services"	"Technology"
4	AAON	1/2/1998	22.17	"AAON, Inc."	NASDAQ	"Industrial Machinery/Components"	"Capital Goods"
5	AAP	11/29/2001	59.95	"Advance Auto Parts Inc"	NYSE	"Other Specialty Stores"	"Consumer Services"
6	AAPL	1/2/1998	123.72	"Apple Inc."	NASDAQ	"Computer Manufacturing"	"Technology"
7	AAT	1/13/2011	13.64	"American Assets Trust, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
8	AAWW	5/31/2006	31.09	"Atlas Air Worldwide Holdings"	NASDAQ	"Transportation Services"	"Transportation"
9	ABAX	1/2/1998	35.32	"ABAXIS, Inc."	NASDAQ	"Industrial Machinery/Components"	"Capital Goods"
10	ABBV	1/2/2013	19.01	"AbbVie Inc."	NYSE	"Major Pharmaceuticals"	"Health Care"
11	ABC	8/30/2001	68.98	"AmerisourceBergen Corporation (Holding Co)"	NYSE	"Other Pharmaceuticals"	"Health Care"
12	ABCB	1/2/1998	15.67	"Ameris Bancorp"	NASDAQ	"Major Banks"	"Finance"
13	ABCD	12/9/2009	3.21	"Cambium Learning Group, Inc."	NASDAQ	"Publishing"	"Consumer Services"
14	ABCO	11/13/2001	33.76	"The Advisory Board Company"	NASDAQ	"Other Consumer Services"	"Consumer Services"
15	ABG	5/10/2002	39.75	"Asbury Automotive Group Inc"	NYSE	"Automotive Aftermarket"	"Consumer Durables"
16	ABM	1/2/1998	44.93	"ABM Industries Incorporated"	NYSE	"Diversified Commercial Services"	"Finance"
17	ABMD	1/2/1998	41.44	"ABIOMED, Inc."	NASDAQ	"Medical/Dental Instruments"	"Health Care"
18	ABR	5/6/2004	22.74	"Arbor Realty Trust"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
19	ABT	1/2/1998	89.32	"Abbott Laboratories"	NYSE	"Major Pharmaceuticals"	"Health Care"
20	ACAD	5/27/2004	34.47	"ACADIA Pharmaceuticals Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
21	ACAT	1/2/1998	30.09	"Arctic Cat Inc."	NASDAQ	"Recreational Vehicles"	"Consumer Goods"
22	ACC	8/16/2004	42.41	"American Campus Communities Inc"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
23	ACCO	8/17/2005	37.54	"Acco Brands Corporation"	NYSE	"Publishing"	"Consumer Durables"
24	ACET	1/2/1998	26.71	"Aceto Corporation"	NASDAQ	"Other Pharmaceuticals"	"Health Care"
25	ACFN	9/25/2006	8.21	"Acorn Energy, Inc."	NASDAQ	"Computer Peripherals"	"Technology"
26	ACGL	5/9/2000	46.8	"Arch Capital Group Ltd."	NASDAQ	"Property-Casualty Insurers"	"Finance"
27	ACHC	11/1/2011	16.55	"Acadia Healthcare Company, Inc."	NASDAQ	"Medical Specialities"	"Health Care"
28	ACHN	11/9/2006	25.79	"Achillion Pharmaceuticals, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
29	ACIW	7/25/2007	30.7	"ACI Worldwide, Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
30	ACLS	7/11/2000	49.25	"Axcelis Technologies, Inc."	NASDAQ	"Industrial Machinery/Components"	"Technology"
31	ACM	5/10/2007	39.6	"AECOM"	NYSE	"Military/Government/Technical"	"Consumer Services"
32	ACN	7/19/2001	67.6	"Accenture plc"	NYSE	"Business Services"	"Miscellaneous"
33	ACOR	2/10/2006	36.73	"Acorda Therapeutics, Inc."	NASDAQ	"Biotechnology: Biological Products (No Diagnostic Substances)"	"Health Care"
34	ACRE	4/27/2012	9.09	"Ares Commercial Real Estate Corporation"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
35	ACRX	2/11/2011	11.98	"AcelRx Pharmaceuticals, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
36	ACTG	12/16/2002	35.37	"Acacia Research Corporation"	NASDAQ	"Multi-Sector Companies"	"Miscellaneous"
37	ACTL	7/2/2014	0.24	"Actel Corp"	NASDAQ	"Semiconductors and Related Devices"	"Manufacturing"
38	ACUR	8/17/2004	8.9	"Acura Pharmaceuticals, Inc."	NASDAQ	"Drug Delivery"	"Healthcare"
39	ACV	5/22/2015	1.48	"AllianzGI Diversified Income & Convertible Fund"	NYSE	""	""
40	ACXM	1/2/1998	60.45	"Acxiom Corporation"	NASDAQ	"EDP Services"	"Technology"
41	ADBE	1/2/1998	87.89	"Adobe Systems Incorporated"	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
42	ADC	1/2/1998	19.52	"Agree Realty Corporation"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
43	ADES	2/13/2015	0.93	"Advanced Emissions Solutions, Inc."	NASDAQ	"Major Chemicals"	"Basic Industries"
44	ADI	1/2/1998	82.02	"Analog Devices, Inc."	NASDAQ	"Semiconductors"	"Technology"
45	ADM	1/2/1998	80.64	"Archer-Daniels-Midland Company"	NYSE	"Packaged Foods"	"Consumer Non-Durables"
46	ADP	12/1/2000	71.1	"Automatic Data Processing, Inc."	NASDAQ	"EDP Services"	"Technology"
47	ADPT	6/25/2014	7.5	"Adeptus Health Inc."	NYSE	"Hospital/Nursing Management"	"Health Care"
48	ADS	6/15/2001	54.98	"Alliance Data Systems Corporation"	NYSE	"Business Services"	"Miscellaneous"
49	ADSK	1/2/1998	78.67	"Autodesk, Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
50	ADTN	1/2/1998	66.14	"ADTRAN, Inc."	NASDAQ	"Telecommunications Equipment"	"Public Utilities"
51	ADUS	10/28/2009	7.13	"Addus HomeCare Corporation"	NASDAQ	"Medical/Nursing Services"	"Health Care"
52	AE	1/2/1998	4.19	"Adams Resources & Energy, Inc."	AMEX	"Oil Refining/Marketing"	"Energy"
53	AEE	1/2/1998	72.74	"Ameren Corporation"	NYSE	"Power Generation"	"Public Utilities"
